run_id,solver,dt,n_steps,mass,spring_constant,x0,v0,n_periods,final_position_error,max_energy_error,period_error,runtime_proxy,status
r000,euler,0.12566370614359174,200,1.0,1.0,1.0,0.0,4,3.7501956268030803,21.956385519580603,0.0052414174821321345,194.25755143094167,ok
r001,euler,0.06283185307179587,400,1.0,1.0,1.0,0.0,4,1.1978276807128587,3.835709172425524,0.0013133583525772698,398.49342430453066,ok
r002,euler,0.031415926535897934,800,1.0,1.0,1.0,0.0,4,0.4837242962400963,1.2015881183204065,0.0003288002888037016,785.3900414009881,ok
r003,euler,0.015707963267948967,1600,1.0,1.0,1.0,0.0,4,0.2181893341505441,0.4839915928120506,8.223465696190263e-05,1624.8494290619212,ok
r004,euler,0.007853981633974483,3200,1.0,1.0,1.0,0.0,4,0.1037272559750193,0.2182141808852449,2.0560916855147173e-05,3222.925101518196,ok
r005,semi_implicit_euler,0.12566370614359174,200,1.0,1.0,1.0,0.0,4,0.0011801086978419084,0.06676795965325621,0.0006597418481696849,192.5923406287683,ok
r006,semi_implicit_euler,0.06283185307179587,400,1.0,1.0,1.0,0.0,4,0.00013855356976411048,0.03242628420153393,0.00016448629828610855,403.3834039504601,ok
r007,semi_implicit_euler,0.031415926535897934,800,1.0,1.0,1.0,0.0,4,1.6772875661041908e-05,0.015956654396926062,4.112286008815363e-05,778.892849999542,ok
r008,semi_implicit_euler,0.015707963267948967,1600,1.0,1.0,1.0,0.0,4,2.0628583898840702e-06,0.007915909716543768,1.0280806455387508e-05,1597.8669189986686,ok
r009,semi_implicit_euler,0.007853981633974483,3200,1.0,1.0,1.0,0.0,4,2.5575960127532937e-07,0.0039424424045275686,2.5702075014069874e-06,3145.3700007205694,ok
r010,verlet,0.12566370614359174,200,1.0,1.0,1.0,0.0,4,0.00013721516046016902,0.0039390000140466785,0.0006579084945142636,397.2095336608812,ok
r011,verlet,0.06283185307179587,400,1.0,1.0,1.0,0.0,4,0.004276633251587558,0.493480187078843,0.0001646247230575575,808.1058890682932,ok
r012,verlet,0.031415926535897934,800,1.0,1.0,1.0,0.0,4,5.342236925054422e-07,0.000246740108998611,4.113225782503079e-05,1651.345948851785,ok
r013,verlet,0.015707963267948967,1600,1.0,1.0,1.0,0.0,4,3.338342213776713e-08,6.168502749204219e-05,1.028141719199991e-05,3155.1155544075496,ok
r014,verlet,0.007853981633974483,3200,1.0,1.0,1.0,0.0,4,2.0863789584879555e-09,1.5421256877146128e-05,2.5702464045382714e-06,6706.470584831729,ok
r015,rk4,0.12566370614359174,200,1.0,1.0,1.0,0.0,4,5.459774229277237e-06,1.0916821630790885e-05,2.06363721332578e-06,786.0501386624959,ok
r016,rk4,0.06283185307179587,400,1.0,1.0,1.0,0.0,4,1.7083458947464436e-07,3.416585246940329e-07,1.297810909361573e-07,1552.2600659534708,ok
r017,rk4,0.031415926535897934,800,1.0,1.0,1.0,0.0,4,5.340411668441902e-09,1.0680781703520381e-08,8.115897996718783e-09,3156.1555447794367,ok
r018,rk4,0.015707963267948967,1600,1.0,1.0,1.0,0.0,4,1.6690249182715888e-10,3.338048726320153e-10,5.073152932937462e-10,6540.28614933359,ok
r019,rk4,0.007853981633974483,3200,1.0,1.0,1.0,0.0,4,5.218159238040698e-12,1.0436318476081397e-11,3.1708292520375306e-11,13041.711118758858,ok
